product_name,product_category,reviews
ASUS-15-6-inch-i5-10300H-SSDWindows-FX566LH-BQ275T,laptop,Your browser does not support HTML5 video.  I got my laptop 2 days before the performance and Build quality is good but in my laptop i have a screen issue when ever i use the laptop i will blink the screen sometimes. I think its a loose connection on the screen. Am Attaching the video with this.
ASUS-15-6-inch-i5-10300H-SSDWindows-FX566LH-BQ275T,laptop,"OVERALL BANG FOR BUCK......BEST VFM Display :-Fhd at 144hz is just a eye candy..Anti glare coating does not strain the eyes neither gives headache...its super smooth cuz of 144hz..but not for video editing or content creation because of 45% ntsc color gamut and if u dont know about that 45% ntsc ..u will not even notice AUDIO:-SPEAKERS ARE JUST MIND BLOWING AWESOME...NOT REGRETS DERE...Additinally Asus gives so many audio features so its just lit...u can definately feel the audio coming from 360° BATTERY:-Charges in an hour ...and lasts for 7-8 hrs on normal usage in silent mode on performance mode battery backup drops to about 3 hrs which is fine HARDWARE:-FORTRESS GREY LOOKS SO SOBER AND FASCINATING..upper lid has aluminium covering and is durable but the whole body is made of abs plastic and can withstand drops from 4-5ft ..Moreover this laptop has military grade 810H certification ...so no complaints about hardware,i5 10th gen can handle most tasks without breaking sweat there r no lags or stuttering or anything whatssoever its a smooth experience SOFTWARE:-WINDOWS 10 + ASUS APPS ARMOURY CRATE = GUD SOFTWARE WILL UPDATE MORE INFO AFTER A WEEK OF USAGE"
ASUS-15-6-inch-i5-10300H-SSDWindows-FX566LH-BQ275T,laptop,"Spec - 4/5 Build- 4/5 Display-4/5 Overall it’s good budget laptop. Works very well with good appearance. But I bought for little bit higher price than its original value . That’s the main issue. When it comes to display quality, worth it . Sound quality needs some more volume output, other than that it’s Good. It’s processing power is one fine thing to get applause. Overall, one fine laptop for a budget price of 67K , (but bought for 72K)."
ASUS-15-6-inch-i5-10300H-SSDWindows-FX566LH-BQ275T,laptop,"1 Star for Amazon packaging, and 5 Star for product. Guys 60k mein ek bike aa jati hai insaan agr paise karch krke kuch manga raha hai to jaisa product hota hai us hisaab se packing bhi krke diya karo, Har baar ka hai tum logon ka 500 ki cheez mangane pe tum loog 5 kg ka dabba saath mein 10 kg jhilli daal ke dete ho, whi agr koi cheez 50k ke upper hoti hai toh aise simple dibbe mein pakda ke beej dete ho!!! Baklol hi ho katai bhai..."
ASUS-15-6-inch-i5-10300H-SSDWindows-FX566LH-BQ275T,laptop,Your browser does not support HTML5 video.  I got my laptop 2 days before the performance and Build quality is good but in my laptop i have a screen issue when ever i use the laptop i will blink the screen sometimes. I think its a loose connection on the screen. Am Attaching the video with this.
ASUS-15-6-inch-i5-10300H-SSDWindows-FX566LH-BQ275T,laptop,"OVERALL BANG FOR BUCK......BEST VFM Display :-Fhd at 144hz is just a eye candy..Anti glare coating does not strain the eyes neither gives headache...its super smooth cuz of 144hz..but not for video editing or content creation because of 45% ntsc color gamut and if u dont know about that 45% ntsc ..u will not even notice AUDIO:-SPEAKERS ARE JUST MIND BLOWING AWESOME...NOT REGRETS DERE...Additinally Asus gives so many audio features so its just lit...u can definately feel the audio coming from 360° BATTERY:-Charges in an hour ...and lasts for 7-8 hrs on normal usage in silent mode on performance mode battery backup drops to about 3 hrs which is fine HARDWARE:-FORTRESS GREY LOOKS SO SOBER AND FASCINATING..upper lid has aluminium covering and is durable but the whole body is made of abs plastic and can withstand drops from 4-5ft ..Moreover this laptop has military grade 810H certification ...so no complaints about hardware,i5 10th gen can handle most tasks without breaking sweat there r no lags or stuttering or anything whatssoever its a smooth experience SOFTWARE:-WINDOWS 10 + ASUS APPS ARMOURY CRATE = GUD SOFTWARE WILL UPDATE MORE INFO AFTER A WEEK OF USAGE"
ASUS-15-6-inch-i5-10300H-SSDWindows-FX566LH-BQ275T,laptop,"Spec - 4/5 Build- 4/5 Display-4/5 Overall it’s good budget laptop. Works very well with good appearance. But I bought for little bit higher price than its original value . That’s the main issue. When it comes to display quality, worth it . Sound quality needs some more volume output, other than that it’s Good. It’s processing power is one fine thing to get applause. Overall, one fine laptop for a budget price of 67K , (but bought for 72K)."
ASUS-15-6-inch-i5-10300H-SSDWindows-FX566LH-BQ275T,laptop,"1 Star for Amazon packaging, and 5 Star for product. Guys 60k mein ek bike aa jati hai insaan agr paise karch krke kuch manga raha hai to jaisa product hota hai us hisaab se packing bhi krke diya karo, Har baar ka hai tum logon ka 500 ki cheez mangane pe tum loog 5 kg ka dabba saath mein 10 kg jhilli daal ke dete ho, whi agr koi cheez 50k ke upper hoti hai toh aise simple dibbe mein pakda ke beej dete ho!!! Baklol hi ho katai bhai..."
ASUS-15-6-inch-i5-10300H-SSDWindows-FX566LH-BQ275T,laptop,Your browser does not support HTML5 video.  I got my laptop 2 days before the performance and Build quality is good but in my laptop i have a screen issue when ever i use the laptop i will blink the screen sometimes. I think its a loose connection on the screen. Am Attaching the video with this.
ASUS-15-6-inch-i5-10300H-SSDWindows-FX566LH-BQ275T,laptop,"OVERALL BANG FOR BUCK......BEST VFM Display :-Fhd at 144hz is just a eye candy..Anti glare coating does not strain the eyes neither gives headache...its super smooth cuz of 144hz..but not for video editing or content creation because of 45% ntsc color gamut and if u dont know about that 45% ntsc ..u will not even notice AUDIO:-SPEAKERS ARE JUST MIND BLOWING AWESOME...NOT REGRETS DERE...Additinally Asus gives so many audio features so its just lit...u can definately feel the audio coming from 360° BATTERY:-Charges in an hour ...and lasts for 7-8 hrs on normal usage in silent mode on performance mode battery backup drops to about 3 hrs which is fine HARDWARE:-FORTRESS GREY LOOKS SO SOBER AND FASCINATING..upper lid has aluminium covering and is durable but the whole body is made of abs plastic and can withstand drops from 4-5ft ..Moreover this laptop has military grade 810H certification ...so no complaints about hardware,i5 10th gen can handle most tasks without breaking sweat there r no lags or stuttering or anything whatssoever its a smooth experience SOFTWARE:-WINDOWS 10 + ASUS APPS ARMOURY CRATE = GUD SOFTWARE WILL UPDATE MORE INFO AFTER A WEEK OF USAGE"
ASUS-15-6-inch-i5-10300H-SSDWindows-FX566LH-BQ275T,laptop,"Spec - 4/5 Build- 4/5 Display-4/5 Overall it’s good budget laptop. Works very well with good appearance. But I bought for little bit higher price than its original value . That’s the main issue. When it comes to display quality, worth it . Sound quality needs some more volume output, other than that it’s Good. It’s processing power is one fine thing to get applause. Overall, one fine laptop for a budget price of 67K , (but bought for 72K)."
ASUS-15-6-inch-i5-10300H-SSDWindows-FX566LH-BQ275T,laptop,"Battery problem within one week.never wait for asus service ,if the replacement option there go for it."
ASUS-15-6-inch-i5-10300H-SSDWindows-FX566LH-BQ275T,laptop,Your browser does not support HTML5 video.  Such a good product from Asus.Everything is good
HP-Pavilion-Laptop-Graphics-14-dv0055TU,laptop,Loved it
ASUS-15-6-inch-i5-10300H-SSDWindows-FX566LH-BQ275T,laptop,"1 Star for Amazon packaging, and 5 Star for product. Guys 60k mein ek bike aa jati hai insaan agr paise karch krke kuch manga raha hai to jaisa product hota hai us hisaab se packing bhi krke diya karo, Har baar ka hai tum logon ka 500 ki cheez mangane pe tum loog 5 kg ka dabba saath mein 10 kg jhilli daal ke dete ho, whi agr koi cheez 50k ke upper hoti hai toh aise simple dibbe mein pakda ke beej dete ho!!! Baklol hi ho katai bhai..."
